run,type,module,name,attrname,attrvalue,value
General-0-20220526-14:41:32-10236,runattr,,,configname,General,
General-0-20220526-14:41:32-10236,runattr,,,datetime,20220526-14:41:32,
General-0-20220526-14:41:32-10236,runattr,,,experiment,General,
General-0-20220526-14:41:32-10236,runattr,,,inifile,omnetpp.ini,
General-0-20220526-14:41:32-10236,runattr,,,iterationvars,,
General-0-20220526-14:41:32-10236,runattr,,,iterationvarsf,,
General-0-20220526-14:41:32-10236,runattr,,,measurement,,
General-0-20220526-14:41:32-10236,runattr,,,network,Network,
General-0-20220526-14:41:32-10236,runattr,,,processid,10236,
General-0-20220526-14:41:32-10236,runattr,,,repetition,0,
General-0-20220526-14:41:32-10236,runattr,,,replication,#0,
General-0-20220526-14:41:32-10236,runattr,,,resultdir,results,
General-0-20220526-14:41:32-10236,runattr,,,runnumber,0,
General-0-20220526-14:41:32-10236,runattr,,,seedset,0,
General-0-20220526-14:41:32-10236,param,,,Network.sender.gen.generationInterval,exponential(0.1),
General-0-20220526-14:41:32-10236,param,,,Network.sender.gen.packetByteSize,12500,
General-0-20220526-14:41:32-10236,param,,,Network.queue.bufferSize,100,
General-0-20220526-14:41:32-10236,param,,,Network.rec.queue.bufferSize,200,
General-0-20220526-14:41:32-10236,param,,,Network.sender.queue.bufferSize,2000000,
General-0-20220526-14:41:32-10236,scalar,Network.sender.gen,Number of packets generated,,,2933
General-0-20220526-14:41:32-10236,scalar,Network.sender.queue,Dropped Packets,,,0
General-0-20220526-14:41:32-10236,scalar,Network.queue,Dropped Packets,,,1332
General-0-20220526-14:41:32-10236,scalar,Network.rec.sink,Avg delay,,,19.984463156
General-0-20220526-14:41:32-10236,scalar,Network.rec.sink,Number of packets,,,1498
General-0-20220526-14:41:32-10236,scalar,Network.rec.queue,Dropped Packets,,,0
