run,type,module,name,attrname,attrvalue,value
General-0-20220529-23:25:21-1926,runattr,,,configname,General,
General-0-20220529-23:25:21-1926,runattr,,,datetime,20220529-23:25:21,
General-0-20220529-23:25:21-1926,runattr,,,experiment,General,
General-0-20220529-23:25:21-1926,runattr,,,inifile,omnetpp.ini,
General-0-20220529-23:25:21-1926,runattr,,,iterationvars,,
General-0-20220529-23:25:21-1926,runattr,,,iterationvarsf,,
General-0-20220529-23:25:21-1926,runattr,,,measurement,,
General-0-20220529-23:25:21-1926,runattr,,,network,Network,
General-0-20220529-23:25:21-1926,runattr,,,processid,1926,
General-0-20220529-23:25:21-1926,runattr,,,repetition,0,
General-0-20220529-23:25:21-1926,runattr,,,replication,#0,
General-0-20220529-23:25:21-1926,runattr,,,resultdir,results,
General-0-20220529-23:25:21-1926,runattr,,,runnumber,0,
General-0-20220529-23:25:21-1926,runattr,,,seedset,0,
General-0-20220529-23:25:21-1926,param,,,Network.sender.senderAppLayer.generationInterval,exponential(2.0),
General-0-20220529-23:25:21-1926,param,,,Network.**.maxSeqNum,2147483647,
General-0-20220529-23:25:21-1926,param,,,Network.**.packetByteSize,12500,
General-0-20220529-23:25:21-1926,param,,,Network.dataQueue.bufferSize,100,
General-0-20220529-23:25:21-1926,param,,,Network.ackQueue.bufferSize,100,
General-0-20220529-23:25:21-1926,param,,,Network.sender.transpSend.bufferSize,2000000,
General-0-20220529-23:25:21-1926,param,,,Network.sender.transpSend.rtt,1s,
General-0-20220529-23:25:21-1926,param,,,Network.sender.transpSend.timeout,3s,
General-0-20220529-23:25:21-1926,param,,,Network.rec.transpRec.bufferSize,200,
General-0-20220529-23:25:21-1926,scalar,Network.sender.senderAppLayer,Number of packets generated,,,144
General-0-20220529-23:25:21-1926,scalar,Network.sender.transpSend,Avg Buffer Size Send,,,0.48648648648649
General-0-20220529-23:25:21-1926,scalar,Network.rec.recAppLayer,Avg delay,,,0.42802818128085
General-0-20220529-23:25:21-1926,scalar,Network.rec.recAppLayer,Number of packets,,,152
General-0-20220529-23:25:21-1926,scalar,Network.rec.transpRec,Avg Buffer Size Rec,,,0.5
